,from,to,from_weight,to_weight,edge_weight
0,community,class,9,13,1
1,community,year,9,9,1
2,community,job,9,8,1
3,community,system,9,40,1
4,community,tensorflow,9,11,1
5,community,model,9,25,1
6,community,application,9,32,1
7,community,twitter,9,9,1
8,community,machine,9,24,1
9,community,learning,9,18,1
10,community,AI,9,7,1
11,community,process,9,26,1
12,community,set,9,16,1
13,community,example,9,35,1
14,community,question,9,8,1
15,community,way,9,45,1
16,community,project,9,19,1
17,model,result,25,18,1
18,model,year,25,9,1
19,model,other,25,17,1
20,model,translation,25,22,1
21,model,example,25,35,1
22,model,work,25,19,1
23,model,world,25,15,1
24,model,people,25,18,1
25,model,computer,25,18,1
26,model,design,25,10,1
27,model,access,25,11,1
28,model,datum,25,35,1
29,model,class,25,13,2
30,model,classification,25,8,1
31,model,case,25,13,1
32,model,platform,25,19,2
33,model,learning,25,18,1
34,model,system,25,40,1
35,model,process,25,26,1
36,application,task,32,21,1
37,application,computer,32,18,1
38,application,processing,32,9,1
39,application,system,32,40,3
40,application,machine,32,24,1
41,application,twitter,32,9,1
42,application,model,32,25,1
43,application,developer,32,12,1
44,application,app,32,10,1
45,application,number,32,18,1
46,application,work,32,19,1
47,application,access,32,11,1
48,application,example,32,35,1
49,application,object,32,16,2
50,application,degree,32,8,1
51,application,content,32,9,1
52,application,service,32,19,1
53,application,code,32,20,1
54,application,design,32,10,1
55,application,datum,32,35,1
56,application,software,32,23,3
57,application,process,32,26,1
58,application,idea,32,10,1
59,application,translation,32,22,1
60,application,way,32,45,2
61,application,company,32,12,1
62,application,organization,32,11,2
63,application,platform,32,19,2
64,AI,organization,7,11,1
65,AI,company,7,12,1
66,AI,platform,7,19,1
67,AI,software,7,23,1
68,AI,service,7,19,1
69,AI,machine-learning,7,19,2
70,AI,way,7,45,2
71,AI,idea,7,10,1
72,AI,google,7,13,1
73,AI,development,7,25,1
74,AI,training,7,18,1
75,learning,accuracy,18,7,1
76,learning,google,18,13,1
77,learning,prediction,18,12,1
78,learning,work,18,19,1
79,learning,text,18,9,1
80,learning,way,18,45,1
81,learning,question,18,8,1
82,learning,computer,18,18,2
83,learning,datum,18,35,2
84,learning,scale,18,9,1
85,learning,machine-learning,18,19,2
86,learning,number,18,18,1
87,learning,machine,18,24,1
88,learning,application,18,32,2
89,learning,design,18,10,1
90,learning,classification,18,8,2
91,learning,input,18,12,3
92,learning,set,18,16,2
93,learning,network,18,25,1
94,learning,algorithm,18,12,1
95,learning,year,18,9,1
96,learning,performance,18,22,1
97,learning,computer-vision,18,7,1
98,learning,deep-learning,18,13,1
99,learning,model,18,25,4
100,learning,translation,18,22,1
101,learning,processing,18,9,1
102,learning,object,18,16,4
103,learning,training,18,18,2
104,learning,system,18,40,2
105,learning,organization,18,11,2
106,learning,course,18,7,1
107,learning,task,18,21,3
108,learning,brain,18,10,2
109,learning,process,18,26,2
110,learning,development,18,25,1
111,learning,language,18,16,1
112,learning,people,18,18,2
113,learning,example,18,35,5
114,learning,case,18,13,2
115,learning,content,18,9,2
116,learning,result,18,18,2
117,machine,process,24,26,1
118,machine,datum,24,35,1
119,machine,prediction,24,12,1
120,machine,classification,24,8,1
121,machine,machine-learning,24,19,1
122,machine,organization,24,11,1
123,machine,processing,24,9,1
124,machine,source,24,15,1
125,machine,task,24,21,2
126,machine,company,24,12,1
127,machine,translation,24,22,1
128,machine,example,24,35,2
129,machine,input,24,12,3
130,machine,world,24,15,1
131,machine,application,24,32,1
132,machine,computer,24,18,2
133,machine,system,24,40,3
134,machine,development,24,25,2
135,machine,model,24,25,3
136,machine,community,24,9,1
137,machine,other,24,17,1
138,machine,device,24,24,3
139,machine,number,24,18,1
140,machine,performance,24,22,2
141,machine,work,24,19,2
142,tensorflow,access,11,11,1
143,tensorflow,ad,11,7,1
144,tensorflow,machine-learning,11,19,1
145,tensorflow,twitter,11,9,1
146,tensorflow,other,11,17,1
147,tensorflow,search,11,24,1
148,tensorflow,number,11,18,1
149,tensorflow,result,11,18,1
150,tensorflow,people,11,18,1
151,tensorflow,deep-learning,11,13,1
152,tensorflow,idea,11,10,1
153,tensorflow,year,11,9,1
154,tensorflow,computer,11,18,1
155,tensorflow,task,11,21,1
156,tensorflow,service,11,19,1
157,tensorflow,brain,11,10,1
158,tensorflow,tool,11,14,1
159,tensorflow,system,11,40,2
160,tensorflow,algorithm,11,12,1
161,tensorflow,world,11,15,2
162,tensorflow,input,11,12,1
163,tensorflow,accuracy,11,7,1
164,tensorflow,text,11,9,1
165,tensorflow,AI,11,7,2
166,tensorflow,course,11,7,1
167,tensorflow,computer-vision,11,7,1
168,tensorflow,network,11,25,1
169,tensorflow,cloud,11,15,2
170,tensorflow,series,11,11,1
171,tensorflow,design,11,10,1
172,tensorflow,translation,11,22,1
173,tensorflow,work,11,19,1
174,tensorflow,object,11,16,1
175,tensorflow,company,11,12,2
176,tensorflow,prediction,11,12,1
177,tensorflow,job,11,8,1
178,tensorflow,app,11,10,2
179,tensorflow,processing,11,9,1
180,tensorflow,google,11,13,1
181,tensorflow,browser,11,8,1
182,tensorflow,training,11,18,1
183,tensorflow,scale,11,9,1
184,tensorflow,content,11,9,1
185,tensorflow,degree,11,8,1
186,tensorflow,development,11,25,2
187,tensorflow,api,11,11,2
188,tensorflow,code,11,20,2
189,tensorflow,machine,11,24,2
190,tensorflow,source,11,15,3
191,tensorflow,software,11,23,3
192,tensorflow,platform,11,19,2
193,tensorflow,learning,11,18,1
194,tensorflow,cpu,11,7,2
195,tensorflow,language,11,16,3
196,tensorflow,question,11,8,1
197,tensorflow,example,11,35,1
198,tensorflow,project,11,19,4
199,tensorflow,community,11,9,2
200,tensorflow,process,11,26,1
201,tensorflow,model,11,25,4
202,tensorflow,device,11,24,2
203,tensorflow,classification,11,8,1
204,tensorflow,application,11,32,4
205,tensorflow,performance,11,22,2
206,tensorflow,datum,11,35,5
207,tensorflow,class,11,13,1
208,tensorflow,way,11,45,3
209,tensorflow,case,11,13,1
210,tensorflow,set,11,16,1
211,tensorflow,server,11,13,1
212,tensorflow,organization,11,11,1
213,tensorflow,developer,11,12,4
214,platform,software,19,23,1
215,platform,scale,19,9,1
216,platform,process,19,26,1
217,platform,way,19,45,1
218,platform,people,19,18,1
219,platform,class,19,13,1
220,platform,translation,19,22,1
221,platform,example,19,35,1
222,platform,community,19,9,1
223,platform,device,19,24,1
224,platform,model,19,25,1
225,platform,performance,19,22,1
226,platform,search,19,24,1
227,development,project,25,19,1
228,development,example,25,35,1
229,development,translation,25,22,1
230,development,world,25,15,1
231,development,people,25,18,1
232,development,community,25,9,1
233,system,process,40,26,1
234,system,people,40,18,1
235,system,number,40,18,1
236,system,development,40,25,1
237,system,work,40,19,1
238,system,model,40,25,1
239,system,tool,40,14,1
240,system,project,40,19,1
241,system,service,40,19,1
242,system,example,40,35,1
243,system,translation,40,22,1
244,system,source,40,15,1
245,system,way,40,45,3
246,system,object,40,16,1
247,number,translation,18,22,1
248,number,example,18,35,1
249,number,job,18,8,1
250,number,people,18,18,1
251,number,object,18,16,1
252,training,people,18,18,2
253,training,translation,18,22,1
254,training,performance,18,22,1
255,training,development,18,25,2
256,training,degree,18,8,1
257,training,application,18,32,1
258,training,other,18,17,1
259,training,work,18,19,1
260,training,system,18,40,1
261,training,tool,18,14,1
262,training,job,18,8,1
263,training,example,18,35,3
264,training,set,18,16,1
265,training,classification,18,8,1
266,training,result,18,18,2
267,training,network,18,25,1
268,training,class,18,13,1
269,training,prediction,18,12,1
270,training,number,18,18,1
271,training,accuracy,18,7,1
272,training,model,18,25,1
273,training,process,18,26,1
274,training,datum,18,35,1
275,process,result,26,18,1
276,question,machine,8,24,1
277,question,device,8,24,1
278,project,set,19,16,1
279,project,content,19,9,1
280,project,application,19,32,1
281,project,network,19,25,1
282,project,cloud,19,15,1
283,project,app,19,10,2
284,project,datum,19,35,1
285,project,service,19,19,1
286,project,work,19,19,2
287,project,task,19,21,3
288,project,case,19,13,1
289,project,process,19,26,1
290,project,translation,19,22,1
291,project,example,19,35,1
292,example,year,35,9,1
293,way,work,45,19,1
294,way,example,45,35,1
295,way,case,45,13,1
296,way,translation,45,22,1
297,performance,other,22,17,1
298,performance,content,22,9,1
299,performance,process,22,26,1
300,performance,task,22,21,1
301,performance,developer,22,12,1
302,performance,result,22,18,1
303,performance,translation,22,22,1
304,performance,example,22,35,1
305,developer,device,12,24,1
306,developer,way,12,45,1
307,developer,object,12,16,1
308,developer,network,12,25,1
309,datum,system,35,40,1
310,datum,design,35,10,1
311,datum,work,35,19,1
312,datum,api,35,11,1
313,datum,example,35,35,1
314,datum,translation,35,22,1
315,device,code,24,20,1
316,device,example,24,35,1
317,device,application,24,32,1
318,device,server,24,13,1
319,device,process,24,26,1
320,device,idea,24,10,1
321,device,people,24,18,1
322,server,code,13,20,1
323,server,browser,13,8,1
324,software,browser,23,8,1
325,software,input,23,12,1
326,software,tool,23,14,1
327,software,algorithm,23,12,1
328,software,design,23,10,1
329,software,project,23,19,1
330,software,service,23,19,1
331,software,other,23,17,1
332,software,application,23,32,1
333,software,cloud,23,15,1
334,software,datum,23,35,1
335,software,development,23,25,2
336,software,code,23,20,1
337,software,google,23,13,1
338,software,computer,23,18,1
339,software,access,23,11,1
340,software,system,23,40,1
341,software,device,23,24,2
342,software,translation,23,22,1
343,software,example,23,35,1
344,source,software,15,23,1
345,source,learning,15,18,1
346,source,text,15,9,1
347,organization,way,11,45,1
348,organization,company,11,12,1
349,organization,source,11,15,1
350,organization,case,11,13,1
351,api,class,11,13,1
352,api,system,11,40,1
353,api,software,11,23,1
354,api,cloud,11,15,1
355,api,people,11,18,1
356,api,server,11,13,2
357,api,datum,11,35,2
358,api,application,11,32,2
359,api,network,11,25,1
360,api,object,11,16,1
361,api,twitter,11,9,2
362,api,way,11,45,1
363,api,google,11,13,2
364,api,service,11,19,2
365,api,device,11,24,1
366,api,platform,11,19,1
367,api,company,11,12,1
368,api,browser,11,8,1
369,api,developer,11,12,1
370,api,app,11,10,1
371,language,translation,16,22,1
372,language,content,16,9,1
373,language,question,16,8,1
374,language,brain,16,10,1
375,language,example,16,35,2
376,language,number,16,18,1
377,language,company,16,12,1
378,language,process,16,26,2
379,language,community,16,9,1
380,language,development,16,25,2
381,language,degree,16,8,1
382,language,other,16,17,2
383,language,idea,16,10,1
384,language,system,16,40,1
385,language,world,16,15,1
386,language,way,16,45,1
387,language,set,16,16,2
388,language,source,16,15,1
389,cpu,brain,7,10,2
390,cpu,software,7,23,2
391,cpu,computer,7,18,2
392,cpu,system,7,40,3
393,cpu,code,7,20,1
394,cpu,number,7,18,1
395,cpu,task,7,21,2
396,cpu,processing,7,9,2
397,cpu,application,7,32,1
398,cpu,process,7,26,1
399,cpu,access,7,11,1
400,cpu,device,7,24,1
401,deep-learning,computer,13,18,1
402,deep-learning,google,13,13,1
403,deep-learning,access,13,11,1
404,deep-learning,class,13,13,1
405,deep-learning,scale,13,9,1
406,deep-learning,course,13,7,2
407,deep-learning,code,13,20,1
408,deep-learning,question,13,8,2
409,deep-learning,twitter,13,9,1
410,deep-learning,number,13,18,1
411,deep-learning,project,13,19,2
412,deep-learning,case,13,13,1
413,deep-learning,idea,13,10,1
414,deep-learning,service,13,19,1
415,deep-learning,series,13,11,1
416,deep-learning,task,13,21,1
417,deep-learning,accuracy,13,7,1
418,deep-learning,text,13,9,1
419,deep-learning,way,13,45,1
420,deep-learning,tensorflow,13,11,1
421,deep-learning,set,13,16,1
422,deep-learning,classification,13,8,1
423,deep-learning,work,13,19,1
424,deep-learning,system,13,40,3
425,deep-learning,platform,13,19,1
426,deep-learning,world,13,15,1
427,deep-learning,datum,13,35,2
428,deep-learning,other,13,17,2
429,deep-learning,year,13,9,1
430,deep-learning,prediction,13,12,2
431,deep-learning,result,13,18,3
432,deep-learning,brain,13,10,2
433,deep-learning,cloud,13,15,2
434,deep-learning,input,13,12,2
435,deep-learning,model,13,25,2
436,deep-learning,software,13,23,2
437,deep-learning,developer,13,12,1
438,deep-learning,tool,13,14,3
439,deep-learning,algorithm,13,12,2
440,deep-learning,AI,13,7,1
441,deep-learning,training,13,18,2
442,deep-learning,computer-vision,13,7,3
443,deep-learning,object,13,16,3
444,deep-learning,process,13,26,1
445,deep-learning,processing,13,9,1
446,deep-learning,network,13,25,3
447,deep-learning,application,13,32,2
448,deep-learning,example,13,35,3
449,deep-learning,neural-network,13,7,2
450,deep-learning,machine-learning,13,19,3
451,deep-learning,learning,13,18,3
452,deep-learning,machine,13,24,3
453,deep-learning,performance,13,22,2
454,cloud,processing,15,9,1
455,cloud,application,15,32,1
456,cloud,software,15,23,2
457,cloud,source,15,15,1
458,cloud,api,15,11,1
459,cloud,platform,15,19,2
460,cloud,service,15,19,1
461,cloud,app,15,10,2
462,content,idea,9,10,1
463,content,system,9,40,1
464,content,tool,9,14,1
465,content,number,9,18,1
466,content,software,9,23,1
467,content,algorithm,9,12,1
468,content,case,9,13,1
469,content,example,9,35,1
470,content,google,9,13,1
471,content,training,9,18,1
472,content,result,9,18,1
473,content,way,9,45,1
474,content,company,9,12,1
475,content,question,9,8,1
476,content,deep-learning,9,13,1
477,content,set,9,16,1
478,content,development,9,25,1
479,content,developer,9,12,1
480,content,object,9,16,2
481,content,world,9,15,1
482,content,design,9,10,1
483,content,classification,9,8,1
484,content,accuracy,9,7,1
485,content,process,9,26,1
486,network,idea,25,10,1
487,network,case,25,13,1
488,network,set,25,16,1
489,network,result,25,18,1
490,network,series,25,11,1
491,network,way,25,45,1
492,network,neural-network,25,7,1
493,network,performance,25,22,1
494,network,translation,25,22,1
495,network,example,25,35,1
496,prediction,year,12,9,1
497,prediction,translation,12,22,1
498,prediction,example,12,35,1
499,prediction,datum,12,35,1
500,prediction,result,12,18,1
501,prediction,development,12,25,1
502,prediction,way,12,45,2
503,prediction,device,12,24,1
504,prediction,case,12,13,1
505,prediction,accuracy,12,7,1
506,google,datum,13,35,1
507,google,other,13,17,1
508,google,cloud,13,15,1
509,google,way,13,45,1
510,google,project,13,19,1
511,google,AI,13,7,1
512,google,code,13,20,1
513,google,world,13,15,1
514,google,app,13,10,2
515,google,search,13,24,1
516,google,machine-learning,13,19,1
517,google,number,13,18,1
518,google,access,13,11,1
519,google,system,13,40,1
520,google,software,13,23,1
521,google,service,13,19,1
522,google,people,13,18,1
523,google,computer,13,18,1
524,google,source,13,15,1
525,google,deep-learning,13,13,1
526,google,year,13,9,2
527,google,ad,13,7,2
528,google,company,13,12,2
529,google,brain,13,10,1
530,google,idea,13,10,1
531,google,twitter,13,9,1
532,google,result,13,18,1
533,google,task,13,21,1
534,google,language,13,16,1
535,machine-learning,system,19,40,1
536,machine-learning,course,19,7,1
537,machine-learning,neural-network,19,7,1
538,machine-learning,task,19,21,1
539,machine-learning,access,19,11,1
540,machine-learning,result,19,18,1
541,machine-learning,learning,19,18,2
542,machine-learning,development,19,25,1
543,machine-learning,cloud,19,15,1
544,machine-learning,case,19,13,1
545,machine-learning,process,19,26,1
546,machine-learning,source,19,15,1
547,machine-learning,company,19,12,1
548,machine-learning,computer-vision,19,7,1
549,machine-learning,machine,19,24,2
550,machine-learning,way,19,45,2
551,machine-learning,scale,19,9,2
552,machine-learning,application,19,32,3
553,machine-learning,google,19,13,1
554,machine-learning,work,19,19,1
555,machine-learning,model,19,25,1
556,machine-learning,performance,19,22,2
557,machine-learning,datum,19,35,3
558,machine-learning,api,19,11,1
559,machine-learning,training,19,18,3
560,machine-learning,translation,19,22,1
561,machine-learning,processing,19,9,1
562,machine-learning,prediction,19,12,1
563,machine-learning,language,19,16,1
564,machine-learning,tool,19,14,2
565,machine-learning,algorithm,19,12,2
566,machine-learning,AI,19,7,1
567,machine-learning,twitter,19,9,1
568,machine-learning,deep-learning,19,13,1
569,scale,process,9,26,1
570,processing,translation,9,22,1
571,work,design,19,10,1
572,work,cpu,19,7,1
573,work,object,19,16,1
574,work,series,19,11,1
575,work,company,19,12,1
576,work,platform,19,19,1
577,work,cloud,19,15,1
578,work,developer,19,12,1
579,work,device,19,24,1
580,work,system,19,40,1
581,series,job,11,8,1
582,series,year,11,9,1
583,company,system,12,40,1
584,company,model,12,25,1
585,company,machine,12,24,1
586,job,system,8,40,1
587,job,example,8,35,1
588,job,degree,8,8,1
589,design,process,10,26,1
590,design,organization,10,11,1
591,world,scale,15,9,1
592,course,algorithm,7,12,1
593,course,process,7,26,1
594,course,computer,7,18,1
595,course,search,7,24,1
596,course,machine,7,24,1
597,course,datum,7,35,1
598,course,way,7,45,1
599,course,computer-vision,7,7,1
600,course,neural-network,7,7,1
601,course,machine-learning,7,19,2
602,course,deep-learning,7,13,1
603,course,device,7,24,1
604,course,prediction,7,12,1
605,tool,classification,14,8,1
606,tool,result,14,18,1
607,tool,neural-network,14,7,1
608,tool,search,14,24,1
609,tool,learning,14,18,1
610,year,degree,9,8,1
611,year,way,9,45,1
612,year,series,9,11,1
613,service,browser,19,8,1
614,service,software,19,23,1
615,service,platform,19,19,1
616,service,scale,19,9,1
617,service,development,19,25,1
618,service,datum,19,35,1
619,service,access,19,11,1
620,service,api,19,11,1
621,service,code,19,20,1
622,service,process,19,26,1
623,service,google,19,13,1
624,service,tool,19,14,1
625,service,developer,19,12,1
626,service,machine-learning,19,19,1
627,people,twitter,18,9,1
628,people,question,18,8,1
629,brain,organization,10,11,1
630,brain,language,10,16,1
631,brain,people,10,18,1
632,brain,job,10,8,1
633,brain,other,10,17,1
634,neural-network,brain,7,10,1
635,neural-network,access,7,11,1
636,neural-network,result,7,18,1
637,neural-network,scale,7,9,1
638,neural-network,training,7,18,1
639,neural-network,google,7,13,1
640,neural-network,work,7,19,1
641,neural-network,application,7,32,1
642,neural-network,system,7,40,2
643,neural-network,service,7,19,1
644,neural-network,class,7,13,1
645,neural-network,machine,7,24,1
646,neural-network,other,7,17,1
647,neural-network,software,7,23,1
648,neural-network,performance,7,22,1
649,neural-network,set,7,16,1
650,neural-network,datum,7,35,2
651,neural-network,tensorflow,7,11,2
652,neural-network,tool,7,14,1
653,neural-network,way,7,45,1
654,neural-network,number,7,18,1
